,L1,L2,L3,L4,L5,L1_ver,L2_ver,L3_ver,L4_ver,L5_ver,[INV] Invoice ID
0,Apparel and Luggage and Personal Care Products,Clothing,Clothing,Clothing,Clothing,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1033
1,Apparel and Luggage and Personal Care Products,Clothing,Clothing accessories,Gloves or mittens,Gloves or mittens,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,653
2,Apparel and Luggage and Personal Care Products,Clothing,Clothing accessories,Umbrellas,Umbrellas,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,29
3,Apparel and Luggage and Personal Care Products,Clothing,Dresses and skirts and saris and kimonos,Dresses and skirts and saris and kimonos,Dresses and skirts and saris and kimonos,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,319
4,Apparel and Luggage and Personal Care Products,Clothing,Uniforms,Uniforms,Uniforms,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,76
5,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,84
6,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Purses and handbags and bags,Backpacks,Backpacks,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,394
7,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Purses and handbags and bags,Purses and handbags and bags,Purses and handbags and bags,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,114
8,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Bath and body,Bath and body,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
9,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Hand or body lotion or oil,Hand or body lotion or oil,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,86
10,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Para pharmaceutical creams or lotions,Para pharmaceutical creams or lotions,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,28
11,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Soaps,Soaps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
12,Apparel and Luggage and Personal Care Products,Sewing supplies and accessories,Sewing fasteners,Safety pins,Safety pins,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,10
13,Apparel and Luggage and Personal Care Products,Sewing supplies and accessories,Sewing supplies and accessories,Sewing supplies and accessories,Sewing supplies and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,25
14,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Aerial lifts,Boom lift,Boom lift,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
15,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Building construction machinery and accessories,Building construction machinery and accessories,Building construction machinery and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2783
